sentence,ground_truth_control,baseline_control,rag_control,ground_truth_applicable,baseline_applicable,rag_applicable,ground_truth_status,baseline_status,rag_status,baseline_time,rag_time,baseline_raw,rag_raw,retrieved_controls,retrieval_scores
Setiap peristiwa keamanan dinilai tingkat keparahannya menggunakan matriks klasifikasi yang terdokumentasi.,A.5.25,A.8.1,A.5.25,Yes,Yes,Yes,Implemented,Not Implemented,Implemented,32.61,40.95,"{""control_id"": ""A.8.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Penilaian peristiwa keamanan menggunakan matriks klasifikasi yang terdokumentasi tidak mencakup pemenuhan langkah-langkah pengelolaan dan rekomendasi mitigasinya dalam ISO 27001. Ini termasuk proses seperti identifikasi peristiwa, penilaian tingkat keparahannya, pengambilan tindakan, dan penyimpanan catatan peristiwa."", ""recommendation"": ""Penerapan langkah-langkah pengelolaan peristiwa keamanan dan mitigasi berdasarkan ISO 27001 untuk meningkatkan efektivitas penilaian tingkat keparahannya.""}","{""control_id"": ""A.5.25"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Peristiwa keamanan informasi dianggap telah diproses dan dinilai untuk tingkat keparahannya menggunakan matriks klasifikasi yang terdokumentasikan."", ""recommendation"": ""Mungkin perlu peningkatan atau penguatan dalam prosedur pengelolaan insiden keamanan informasi.""}",A.5.25;A.8.16;A.5.7,0.6291;0.6164;0.5632
"Prosedur respons insiden mencakup containment, eradication, recovery, dan lessons learned.",A.5.26,A.8.14,A.5.26,Yes,Yes,Yes,Implemented,Implemented,Implemented,24.80,47.23,"{
  ""control_id"": ""A.8.14"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Prosedur respons insiden yang mencakup containment (pembatasan), eradication (penghapusan), recovery (restorasi), dan lessons learned (pelajaran belajar) merupakan bagian integral dari sistem manajemen keamanan informasi."",
  ""recommendation"": ""Konfirmasikan kembali penggunaan prosedur ini oleh SDM untuk memastikan kesesuaian dengan standar ISO 27001.""
}","{
  ""control_id"": ""A.5.26"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kalimat audit menyebutkan bahwa prosedur respons insiden mencakup containment, eradication, recovery, dan lessons learned. Ini sesuai dengan kebutuhan A.5.26 yang mengacu pada respons terhadap insiden keamanan informasi."",
  ""recommendation"": ""Tidak ada rekomendasi perbaikan diperlukan karena prosedur telah dilaksanakan.""
}",A.5.26;A.5.24;A.5.27,0.5245;0.4671;0.4649
Post-incident review dilakukan untuk setiap insiden signifikan dan hasilnya diintegrasikan ke program perbaikan.,A.5.27,A.5.1,A.5.26,Yes,Yes,Yes,Implemented,Implemented,Implemented,20.56,38.41,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan A.5.1 ISO 27001 menyatakan bahwa setiap insiden harus di-review dan perbaikan harus dilakukan."", ""recommendation"": ""Jika belum dilakukan, segera implementasikan kebijakan A.5.1.""}","{""control_id"": ""A.5.26"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kontrol ini mengarah pada respons terhadap insiden yang tepat sebagaimana disebutkan dalam kalimat audit."", ""recommendation"": ""Jika belum ada, prosedur post-incident review harus dibuat dan diterapkan secara rutin.""}",A.5.26;A.8.16;A.8.15,0.5145;0.4744;0.4247
Prosedur forensik digital telah ditetapkan untuk pengumpulan dan pelestarian bukti insiden keamanan.,A.5.28,A.7.2,A.5.28,Yes,Yes,Yes,Implemented,Implemented,Implemented,25.27,45.16,"{
  ""control_id"": ""A.7.2"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Prosedur forensik digital mencakup pengumpulan dan pelestarian bukti insiden keamanan, yang sesuai dengan kontrol A.7.2 (Prosedur untuk Pengumpulan dan Pembersihan Bukan Informasi Terkait Insiden)"",
  ""recommendation"": ""Konfirmasikan bahwa prosedur forensik digital secara spesifik mencakup pengumpulan dan pelestarian bukti insiden keamanan""
}","{""control_id"": ""A.5.28"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat audit menggambarkan bahwa prosedur forensik digital telah ditetapkan untuk pengumpulan dan pelestarian bukti insiden keamanan, yang sesuai dengan kontrol A.5.28."", ""recommendation"": ""Keadaan saat ini sudah mencerminkan implementasi yang berfokus pada prosedur forensik digital.""}",A.5.28;A.7.4;A.5.7,0.7552;0.6157;0.5999
Persyaratan keamanan informasi telah diintegrasikan ke dalam rencana kelangsungan bisnis dan diuji berkala.,A.5.29,A.5.1,A.8.29,Yes,Yes,Yes,Implemented,Implemented,Implemented,20.72,38.20,"{
  ""control_id"": ""A.5.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kebijakan keamanan informasi telah disesuaikan dengan rencana kelangsungan bisnis dan direvisi secara berkala."",
  ""recommendation"": ""Periksa apakah prosedur pengujiannya sudah dilakukan secara berkala dan jika belum, implementasikan.""
}","{""control_id"": ""A.8.29"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat audit menekankan integrasi persyaratan keamanan informasi ke dalam Rencana Kelangsungan Bisnis dan pengujian berkala, yang sesuai dengan A.8.29."", ""recommendation"": """"}",A.8.29;A.8.26;A.8.16,0.7082;0.6209;0.6133
RTO dan RPO telah ditetapkan untuk semua layanan TIK kritis dengan solusi backup yang sesuai.,A.5.30,A.8.2,A.8.13,Yes,Yes,Yes,Implemented,Implemented,Implemented,20.49,37.07,"{
  ""control_id"": ""A.8.2"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kondisi ini menunjukkan bahwa organisasi telah mengimplementasikan kontrol A.8.2 yang berkaitan dengan pengaturan RTO dan RPO untuk layanan TI kritis."",
  ""recommendation"": ""Oleh karena itu, tidak ada perbaikan diperlukan.""
}","{""control_id"": ""A.8.13"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan backup telah ditetapkan dan dipelihara secara teratur, sesuai dengan kondisi audit yang diberikan."", ""recommendation"": ""Tidak ada rekomendasi perbaikan dibutuhkan.""}",A.8.13;A.5.30;A.5.37,0.5717;0.4835;0.4357
Tidak ada rencana pemulihan TIK yang terdokumentasi untuk layanan bisnis kritis.,A.5.30,A.5.2,A.5.30,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,26.38,43.34,"{""control_id"": ""A.5.2"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Tidak ada rencana pemulihan TIK yang terdokumentasi menunjukkan bahwa ini bukan merupakan tugas khusus untuk penerapan kebijakan dalam konteks ISO 27001:2022. Namun, penilaian lebih lanjut mungkin diperlukan."", ""recommendation"": ""Terapkan rencana pemulihan TIK yang terdokumentasi dan terintegrasi dengan kebijakan manajemen keselamatan informasi organisasi.""}","{""control_id"": ""A.5.30"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Tidak ada rencana pemulihan yang terdokumentasi untuk layanan bisnis kritis menunjukkan kekurangan dalam memenuhi standar A.5.30."", ""recommendation"": ""Menerapkan rencana pemulihan TIK yang terdokumentasi dan diuji berdasarkan tujuan kelangsungan bisnis.""}",A.5.30;A.5.21;A.7.7,0.3583;0.2440;0.1977
Register kepatuhan mencantumkan semua persyaratan hukum termasuk UU PDP dan regulasi terkait.,A.5.31,A.5.3,A.5.31,Yes,Yes,Yes,Implemented,Implemented,Implemented,25.56,39.36,"{""control_id"": ""A.5.3"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan kepatuhan yang telah mencantumkan semua persyaratan hukum termasuk UU PDP dan regulasi terkait membantu dalam mengakui bahwa organisasi sesuai dengan standar undang-undang yang berlaku."", ""recommendation"": ""Pastikan untuk memeriksa ulang kepatuhan secara berkala untuk memastikan tidak ada kesalahan pengukuran atau penerapan.""}","{""control_id"": ""A.5.31"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan kepatuhan mencakup semua persyaratan hukum, termasuk UU PDP dan regulasi terkait."", ""recommendation"": ""Tidak ada perbaikan diperlukan berdasarkan implementasi yang telah dilakukan.""}",A.5.31;A.6.2;A.5.15,0.5629;0.4375;0.4333
Audit lisensi perangkat lunak dilakukan secara berkala untuk memastikan kepatuhan hak kekayaan intelektual.,A.5.32,FAIL,A.5.32,Yes,FAIL,Yes,Implemented,FAIL,Implemented,22.73,48.02,"{""control_id"": ""A.8.x"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Implementasi lisensi perangkat lunak berkala merupakan langkah penting untuk memastikan kepatuhan hak kekayaan intelektual sesuai dengan Kontrol A.8 (Teknologi)."", ""recommendation"": ""Bersikap kritis terhadap tautan antara sistem perangkat lunak yang digunakan dan lisensi mereka, serta rutin melakukan verifikasi lisensi.""}","{
  ""control_id"": ""A.5.32"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Audit lisensi perangkat lunak secara berkala dilakukan untuk memastikan bahwa organisasi menjalankan prosedur yang sesuai dengan persyaratan hukum, perundang-undangan, dan kontraktual."",
  ""recommendation"": ""Penjelasan: Sistem audit ini sudah direncanakan dan dilaksanakan secara rutin. Namun, organisasi dapat mempertimbangkan untuk mencari solusi otomatis atau sistem manajemen lisensi yang lebih canggih untuk meningkatkan efisiensi.""
}",A.5.32;A.8.26;A.8.30,0.6951;0.4968;0.4941
Kebijakan retensi catatan telah ditetapkan dengan jadwal yang jelas dan penyimpanan yang aman.,A.5.33,A.5.2,A.5.33,Yes,Yes,Yes,Implemented,Implemented,Implemented,15.17,39.40,"{""control_id"": ""A.5.2"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan retensi catatan dengan jadwal dan keamanan penyimpanannya menunjukkan bahwa kontrol ini telah diterapkan."", ""recommendation"": """"}","{""control_id"": ""A.5.33"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan retensi catatan telah ditetapkan dengan jadwal yang jelas dan penyimpanan yang aman sesuai persyaratan hukum, perundang-undangan."", ""recommendation"": """"}",A.5.33;A.8.13;A.8.10,0.5688;0.5208;0.5005
Program perlindungan data pribadi telah dikembangkan sesuai UU Perlindungan Data Pribadi.,A.5.34,A.5.2,A.5.34,Yes,Yes,Yes,Implemented,Implemented,Implemented,21.66,45.00,"{""control_id"": ""A.5.2"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan perlindungan data pribadi telah dibuat berdasarkan UU Perlindungan Data Pribadi."", ""recommendation"": ""Jika belum, buat dan implementasikan prosedur pengelolaan data yang komprehensif sesuai dengan kebijakan.""}","{""control_id"": ""A.5.34"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kontrol ini berhubungan dengan privasi dan perlindungan data pribadi sesuai dengan pernyataan bahwa program telah dikembangkan."", ""recommendation"": ""Bisa diimplementasikan sebagai bagian dari kebijakan umum privasi dan perlindungan data pribadi.""}",A.5.34;A.8.11;A.8.12,0.7187;0.6922;0.6429
Organisasi belum memiliki kebijakan privasi data yang sesuai dengan UU Perlindungan Data Pribadi.,A.5.34,A.5.1,A.5.34,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,17.21,38.03,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Kebijakan privasi data belum didefinisikan dan disahkan sesuai dengan UU Perlindungan Data Pribadi."", ""recommendation"": ""Implementasikan kebijakan privasi data yang komprehensif dan beraturan sesuai dengan perundangan yang berlaku.""}","{""control_id"": ""A.5.34"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi tidak memiliki kebijakan privasi data yang sesuai dengan UU Perlindungan Data Pribadi."", ""recommendation"": ""Implementasikan kebijakan privasi data yang sesuai dengan UU Perlindungan Data Pribadi.""}",A.5.34;A.8.11;A.5.17,0.6062;0.5582;0.4924
Audit keamanan informasi independen dilakukan setiap tahun oleh auditor eksternal bersertifikasi.,A.5.35,A.5.1,A.5.35,Yes,Yes,Yes,Implemented,Implemented,Implemented,14.91,43.30,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan Keamanan Informasi menyatakan bahwa audit keamanan informasi harus dilakukan secara berkala oleh auditor eksternal yang memiliki sertifikasi independen."", ""recommendation"": """"}","{""control_id"": ""A.5.35"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Audit keamanan informasi independen dilakukan setiap tahun menunjukkan bahwa organisasi telah mengambil langkah untuk melakukan tinjauan keamanan yang independen dalam skala waktu yang ditentukan."", ""recommendation"": ""Jika tidak ada, organisasi harus memastikan bahwa tinjauan independen keamanan informasi dilakukan secara berkala dan mencakup semua aspek keamanan.""}",A.5.35;A.8.30;A.8.29,0.5672;0.4906;0.4627
Tinjauan kepatuhan keamanan informasi dilakukan setiap kuartal dengan checklist standar.,A.5.36,A.5.1,A.5.36,Yes,Yes,Yes,Implemented,Implemented,Implemented,14.96,39.96,"{
  ""control_id"": ""A.5.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Audit terhadap kepatuhan informasi dilakukan secara rutin dan sesuai dengan standar yang telah ditetapkan, mencakup checklist sebagai alat evaluasi."",
  ""recommendation"": """"
}","{""control_id"": ""A.5.36"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Audit terhadap kepatuhan kebijakan keamanan informasi dilakukan secara berkala menggambarkan bahwa organisasi telah menetapkan dan mematuhi prosedur audit kepatuhan tersebut."", ""recommendation"": ""Tinjauan kepatuhan dapat ditingkatkan dengan melakukan audit ini setiap bulan sebagai alternatif untuk meningkatkan efektivitas kontrol.""}",A.5.36;A.8.26;A.7.4,0.5950;0.5747;0.5745
Prosedur operasional standar untuk semua sistem kritis telah didokumentasikan dan diperbarui berkala.,A.5.37,A.7.14,A.5.37,Yes,Yes,Yes,Implemented,Implemented,Implemented,19.27,35.86,"{
  ""control_id"": ""A.7.14"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Prosedur operasional standar untuk sistem kritis telah didokumentasikan dan diperbarui secara berkala sesuai dengan kebutuhan organisasi."",
  ""recommendation"": ""Bersikap konstan dalam mengelola dan menerbitkan dokumentasi prosedur operasional standar untuk semua sistem kritis.""
}","{""control_id"": ""A.5.37"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kalimat audit menunjukkan bahwa prosedur operasional standar untuk semua sistem kritis telah didokumentasikan dan diperbarui, yang mencerminkan keberadaan kontrol A.5.37."", ""recommendation"": ""Berdasarkan kondisi saat ini, tidak ada rekomendasi perbaikan.""}",A.5.37;A.8.17;A.8.13,0.5372;0.4609;0.4283
Belum ada dokumentasi prosedur operasional untuk pengelolaan sistem TI organisasi.,A.5.37,A.5.1,A.5.37,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,24.15,34.53,"{
  ""control_id"": ""A.5.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Kontrol A.5.1 merujuk pada penulisan kebijakan dan prosedur operasional yang jelas untuk setiap aspek manajemen, termasuk pengelolaan sistem TI. Kondisi di mana belum ada dokumen ini membuat kontrol tidak terlaksana."",
  ""recommendation"": ""Perlu dilakukan penandatanganan kebijakan dan prosedur operasional yang jelas untuk pengelolaan sistem informasi teknologi (TI) organisasi.""
}","{""control_id"": ""A.5.37"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi belum memiliki prosedur operasional yang didokumentasikan untuk pengelolaan sistem TI-nya."", ""recommendation"": ""Implementasikan prosedur operasional dan dokumentasikannya untuk memenuhi kualifikasi A.5.37.""}",A.5.37;A.8.19;A.5.35,0.4244;0.3808;0.3711
Pemeriksaan latar belakang dilakukan untuk semua kandidat karyawan sebelum diberikan akses ke sistem.,A.6.1,A.5.2,A.6.1,Yes,Yes,Yes,Implemented,Not Implemented,Implemented,25.79,50.40,"{""control_id"": ""A.5.2"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Kontrol A.5.2 bertujuan untuk memastikan bahwa proses pengumpulan dan penilaian data pelamar karyawan telah dilakukan dengan aman, termasuk pemutakhiran profil dan verifikasi. Pemeriksaan latar belakang dalam kalimat audit bukan merupakan bagian dari proses pengumpulan data pelamar yang disebutkan di A.5.2."", ""recommendation"": ""Penerapan sistem penilaian kandidat yang terintegrasi dengan proses verifikasi dan pemutakhiran profil harus dilakukan.""}","{""control_id"": ""A.6.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Pemeriksaan latar belakang untuk kandidat karyawan sesuai dengan poin A.6.1 tentang penyaringan."", ""recommendation"": ""Berdasarkan temuan ini, organisasi perlu melakukan peninjauan berkala dan mengembangkan prosedur baru jika diperlukan.""}",A.6.1;A.8.33;A.8.30,0.6840;0.3687;0.3538
Pemeriksaan latar belakang dilakukan untuk semua kandidat karyawan sebelum diberikan akses ke sistem.,A.6.1,A.6.1,A.6.1,Yes,Yes,Yes,Implemented,Implemented,Implemented,55.64,65.62,"{""control_id"": ""A.6.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kontrol A.6.1 tentang SDM mencakup pemeriksaan kualifikasi dan latar belakang untuk memastikan bahwa individu yang berada dalam posisi dengan akses ke sistem bersertifikat dan memiliki alasan teknis dan non-teknis untuk diminta akses tersebut."", ""recommendation"": ""Kontrol ini sudah diimplementasikan dan efektif. Jika diperlukan, dapat dilakukan pemantauan lebih lanjut terhadap prosedur yang berjalan.""}","{
  ""control_id"": ""A.6.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kontrol A.6.1 berkaitan dengan penyaringan kandidat, termasuk verifikasi latar belakang. Kriteria ini sangat relevan dengan kondisi audit."",
  ""recommendation"": ""Dapatkan informasi yang lebih lanjut tentang prosedur penyaringan dan pertimbangkan mempertahankan atau meningkatkan validasi data latar belakang karyawan.""
}",A.6.1;A.8.33;A.8.30,0.6840;0.3687;0.3538
Tidak ada proses verifikasi latar belakang untuk karyawan baru sebelum memulai pekerjaan.,A.6.1,A.6.4,A.6.1,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,21.86,62.66,"{""control_id"": ""A.6.4"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi mungkin belum memiliki proses verifikasi latar belakang untuk karyawan baru, yang merupakan bagian penting dari kontrol SDM (Manajemen Sumber Daya manusia) ISO 27001."", ""recommendation"": ""Lakukan perumusan dan implementasikan proses verifikasi latar belakang segera.""}","{""control_id"": ""A.6.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi tidak memiliki proses verifikasi latar belakang untuk karyawan baru sebelum memulai pekerjaan."", ""recommendation"": ""Implementasikan proses verifikasi latar belakang yang sesuai dengan hukum, regulasi, dan etika yang relevan.""}",A.6.1;A.6.5;A.7.6,0.4338;0.2432;0.2002
Tidak ada proses verifikasi latar belakang untuk karyawan baru sebelum memulai pekerjaan.,A.6.1,A.6.2,A.6.1,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,49.73,57.55,"{""control_id"": ""A.6.2"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Organisasi tidak memiliki proses verifikasi latar belakang untuk karyawan baru, yang merupakan kontrol penting untuk memastikan keamanan dan integritas organisasi."", ""recommendation"": ""Implementasikan proses verifikasi latar belakang untuk setiap karyawan baru sebagai langkah pertama dalam menjaga keamanan organisasi.""}","{""control_id"": ""A.6.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Not Implemented"", ""justification"": ""Tidak dilakukan verifikasi latar belakang untuk karyawan baru sebelum memulai pekerjaan."", ""recommendation"": ""Implementasikan proses verifikasi latar belakang pada semua kandidat karyawan sebelum memulai kerja.""}",A.6.1;A.6.5;A.7.6,0.4338;0.2432;0.2002
Kontrak kerja mencantumkan klausul keamanan informasi termasuk kewajiban kerahasiaan.,A.6.2,A.5.1,A.6.6,Yes,Yes,Yes,Implemented,Implemented,Implemented,39.72,73.21,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kontrak tersebut telah mencantumkan klaussul keamanan informasi termasuk kewajiban kerahasiaan, yang sesuai dengan Kontrol ISO 27001 A.5.1 Kebijakan Keamanan Informasi."", ""recommendation"": ""Konfirmasi bahwa klausul-klausul tersebut telah diterapkan secara efektif dan disertai dengan prosedur pengawasan rutin.""}","{""control_id"": ""A.6.6"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Klausul keamanan informasi yang mencakup kewajiban kerahasiaan dinyatakan dalam kontrak kerja."", ""recommendation"": ""Periksa pengimplementasian kewajiban kerahasiaan secara menyeluruh dan pastikan telah dilaksanakan dengan benar.""}",A.6.2;A.5.20;A.6.6,0.7279;0.7209;0.7199
Kontrak kerja mencantumkan klausul keamanan informasi termasuk kewajiban kerahasiaan.,A.6.2,A.5.1,A.6.6,Yes,Yes,Yes,Implemented,Implemented,Implemented,59.89,54.30,"{
  ""control_id"": ""A.5.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Klausul keamanan informasi mencakup kewajiban kerahasiaan pada kontrak kerja menunjukkan bahwa organisasi telah mengenalkan kontrol ISO 27001 untuk aspek ini."",
  ""recommendation"": ""Periksa apakah semua karyawan dan pihak yang berkepentingan memahami dan mematuhi kewajiban kerahasiaan tersebut dalam kontrak kerja.""
}","{""control_id"": ""A.6.6"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kontrak kerja menyertakan klausul keamanan informasi dan kerahasiaan yang mencerminkan kebutuhan organisasi untuk perlindungan informasi."", ""recommendation"": """"}",A.6.2;A.5.20;A.6.6,0.7279;0.7209;0.7199
Program kesadaran keamanan informasi dilaksanakan tahunan termasuk simulasi phishing untuk semua karyawan.,A.6.3,A.5.12,A.6.3,Yes,Yes,Yes,Implemented,Implemented,Implemented,40.53,70.97,"{
  ""control_id"": ""A.5.12"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Kebijakan tentang kesadaran keamanan informasi yang ditetapkan termasuk tindakan simulasi phishing sebagai bagian dari program tersebut."",
  ""recommendation"": ""Bertambahkan kompetensi keamanan untuk insentif pemberian, jika diperlukan.""
}","{
  ""control_id"": ""A.6.3"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Implemented"",
  ""justification"": ""Implementasi program kesadaran keamanan informasi melibatkan pendidikan dan pelatihan kepada seluruh karyawan, sesuai dengan Kontrol A.6.3."",
  ""recommendation"": """"
}",A.8.7;A.6.3;A.8.16,0.5600;0.5497;0.5394
Program kesadaran keamanan informasi dilaksanakan tahunan termasuk simulasi phishing untuk semua karyawan.,A.6.3,A.5.2,A.6.3,Yes,Yes,Yes,Implemented,Implemented,Implemented,56.08,62.74,"{""control_id"": ""A.5.2"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan kesadaran keamanan informasi yang ditetapkan sejalan dengan simulasi phishing menunjukkan bahwa organisasi telah melakukan upaya dalam memastikan semua karyawan memahami dan menjalankan tugas anti-phishing."", ""recommendation"": ""Jika belum dilakukan, mulai mengimplementasikan program kesadaran keamanan informasi secara rutin dan mencakup simulasi phishing sebagai salah satu sumber daya edukasi.""}","{""control_id"": ""A.6.3"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Program kesadaran keamanan informasi melibatkan pengiriman simulasi phishing kepada semua karyawan, yang mencerminkan pelaksanaan kesadaran, pendidikan, dan pelatihan keamanan informasi."", ""recommendation"": ""Tinjau program kesadaran untuk memastikan bahwa semua aspek manajemen keamanan (termasuk perlindungan terhadap malware dan pemantauan aktivitas) juga diperhatikan.""}",A.8.7;A.6.3;A.8.16,0.5600;0.5497;0.5394
Karyawan tidak pernah menerima pelatihan tentang keamanan informasi atau ancaman siber.,A.6.3,A.6.1,A.6.3,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,42.14,79.66,"{
  ""control_id"": ""A.6.1"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Karyawan yang belum pernah menerima pelatihan tentang keamanan informasi atau ancaman siber tidak dapat memenuhi kualifikasi SDM dalam kontrol ini."",
  ""recommendation"": ""Implementasikan program pelatihan yang mencakup materi tentang keamanan informasi dan ancaman cyber kepada seluruh karyawan secara rutin.""
}","{
  ""control_id"": ""A.6.3"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Karyawan tidak menerima pelatihan tentang keamanan informasi atau ancaman siber, yang merupakan kriteria dalam Kebijakan A.6.3."",
  ""recommendation"": ""Implementasikan program pelatihan keamanan informasi dan ancaman cyber bagi semua staf secara rutin.""
}",A.6.3;A.6.7;A.6.8,0.3923;0.3677;0.3470
Karyawan tidak pernah menerima pelatihan tentang keamanan informasi atau ancaman siber.,A.6.3,A.6.5,A.6.3,Yes,Yes,Yes,Not Implemented,Not Implemented,Not Implemented,60.32,53.92,"{
  ""control_id"": ""A.6.5"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Karyawan belum menerima pelatihan tentang keamanan informasi atau ancaman siber, yang merupakan kewajiban untuk memastikan SDM memiliki pemahaman dan pengetahuan yang cukup mengenai perlindungan sistem mereka."",
  ""recommendation"": ""Implementasikan program pelatihan rutin setiap tahun kepada semua karyawan mengenai keamanan informasi dan ancaman cyber, serta evaluasi komprehensif terhadap penggunaan teknologi.""
}","{
  ""control_id"": ""A.6.3"",
  ""applicable"": ""Yes"",
  ""implementation_status"": ""Not Implemented"",
  ""justification"": ""Karyawan tidak menerima pelatihan keamanan informasi atau ancaman cyber, yang berarti kontrol A.6.3 belum diterapkan."",
  ""recommendation"": ""Implementasikan program pembelajaran dan pelatihan tentang keamanan informasi serta ancaman siber bagi seluruh personil organisasi.""
}",A.6.3;A.6.7;A.6.8,0.3923;0.3677;0.3470
Prosedur disiplin bertahap telah ditetapkan untuk pelanggaran kebijakan keamanan informasi.,A.6.4,A.5.1,A.5.1,Yes,Yes,Yes,Implemented,Implemented,Implemented,37.42,75.20,"{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan keamanan informasi yang ditetapkan meliputi prosedur bertahap untuk mengatasi pelanggarannya."", ""recommendation"": ""Tidak ada perbaikan diperlukan""}","{""control_id"": ""A.5.1"", ""applicable"": ""Yes"", ""implementation_status"": ""Implemented"", ""justification"": ""Kebijakan keamanan informasi telah didefinisikan dan dikomunikasikan, sesuai dengan A.5.1."", ""recommendation"": ""Tindak lanjutkan untuk memastikan revisi terhadap kebijakan jika perlu.""}",A.6.4;A.5.36;A.5.1,0.7492;0.6249;0.6045
